shipping_id,order_id,shipping_date,return_date,shipping_providers,delivery_status
18723,12927,04-08-2023,18-08-2023,dhl,Returned 
14838,7693,24-02-2021,NULL,dhl,Delivered
16328,4649,27-04-2023,NULL,dhl,Delivered
11040,13376,24-04-2021,NULL,fedex,Delivered
14768,19037,21-09-2023,NULL,dhl,Delivered
1658,1860,29-09-2021,NULL,fedex,Delivered
21116,10178,06-06-2021,NULL,bluedart,Shipped
443,15730,27-07-2022,NULL,fedex,Delivered
1956,15978,03-07-2020,NULL,fedex,Delivered
1012,1823,04-02-2022,NULL,fedex,Delivered
16385,16816,08-01-2021,NULL,dhl,Delivered
1076,9602,22-10-2020,NULL,fedex,Delivered
7512,5552,16-04-2020,NULL,fedex,Delivered
20532,11181,24-09-2021,05-10-2021,bluedart,Returned 
1193,1783,16-02-2021,NULL,fedex,Delivered
2180,18429,26-03-2023,NULL,fedex,Delivered
1754,20178,11-09-2021,NULL,fedex,Delivered
12589,16207,04-05-2022,NULL,fedex,Delivered
18755,9248,01-04-2022,11-04-2022,bluedart,Returned 
10858,11371,24-03-2021,NULL,fedex,Delivered
3610,17893,16-09-2021,NULL,fedex,Delivered
8468,15298,21-07-2021,NULL,fedex,Delivered
7499,2818,23-11-2020,NULL,fedex,Delivered
19138,8635,24-03-2022,31-03-2022,bluedart,Returned 
14774,20093,30-07-2023,NULL,dhl,Delivered
10089,8911,24-01-2022,NULL,fedex,Delivered
16370,15272,07-07-2021,NULL,dhl,Delivered
20499,12810,12-01-2023,22-01-2023,bluedart,Returned 
2926,20939,21-07-2021,NULL,fedex,Delivered
11072,12899,25-06-2023,NULL,fedex,Delivered
9985,16491,30-08-2022,NULL,fedex,Delivered
17331,16029,02-09-2023,NULL,dhl,Delivered
12868,760,16-10-2020,NULL,fedex,Delivered
11119,7953,17-09-2021,NULL,fedex,Delivered
16478,8552,28-04-2020,NULL,dhl,Delivered
16397,2528,05-04-2020,NULL,dhl,Delivered
20522,20086,21-05-2022,28-05-2022,bluedart,Returned 
6329,4781,01-05-2020,NULL,fedex,Delivered
10127,6447,26-12-2020,NULL,fedex,Delivered
10008,15412,13-08-2021,NULL,fedex,Delivered
2880,1387,11-06-2023,NULL,fedex,Delivered
3594,18832,22-08-2022,NULL,fedex,Delivered
11445,16065,14-05-2022,NULL,fedex,Delivered
20856,10790,27-09-2021,NULL,bluedart,Shipped
11019,6082,17-07-2022,NULL,fedex,Delivered
17277,3028,09-02-2022,NULL,dhl,Delivered
15945,6630,22-03-2023,NULL,dhl,Delivered
6633,21359,19-02-2024,NULL,fedex,Delivered
12579,13828,02-08-2022,NULL,fedex,Delivered
20527,15238,25-03-2022,07-04-2022,bluedart,Returned 
18218,20053,24-03-2022,02-04-2022,dhl,Returned 
19940,13642,26-05-2021,02-06-2021,bluedart,Returned 
1718,16788,09-01-2023,NULL,fedex,Delivered
6722,6272,20-01-2020,NULL,fedex,Delivered
18764,4754,12-10-2021,21-10-2021,bluedart,Returned 
18714,21351,01-07-2024,11-07-2024,dhl,Returned 
9991,7119,03-07-2022,NULL,fedex,Delivered
10035,9657,14-03-2020,NULL,fedex,Delivered
10081,20344,27-05-2022,NULL,fedex,Delivered
6837,11317,10-04-2023,NULL,fedex,Delivered
10083,15255,16-04-2022,NULL,fedex,Delivered
11452,3894,13-02-2022,NULL,fedex,Delivered
10851,7150,26-05-2021,NULL,fedex,Delivered
6853,15103,06-06-2022,NULL,fedex,Delivered
12709,9923,31-08-2020,NULL,fedex,Delivered
1901,10192,05-08-2022,NULL,fedex,Delivered
8446,1327,11-09-2022,NULL,fedex,Delivered
18239,13501,20-12-2020,29-12-2020,dhl,Returned 
14236,2175,10-04-2023,NULL,fedex,Delivered
20613,8949,31-10-2022,13-11-2022,bluedart,Returned 
14780,6062,08-07-2023,NULL,dhl,Delivered
14215,14639,02-02-2024,NULL,fedex,Delivered
10830,9939,24-03-2022,NULL,fedex,Delivered
6892,9761,22-05-2020,NULL,fedex,Delivered
12703,8732,04-01-2021,NULL,fedex,Delivered
1649,14664,08-04-2022,NULL,fedex,Delivered
20707,12944,17-01-2021,NULL,bluedart,Shipped
16375,8883,15-05-2021,NULL,dhl,Delivered
20583,10996,13-02-2024,21-02-2024,bluedart,Returned 
202,5875,03-03-2023,NULL,fedex,Delivered
16445,5195,21-01-2022,NULL,dhl,Delivered
3630,11850,10-05-2020,NULL,fedex,Delivered
9818,253,01-10-2021,NULL,fedex,Delivered
18210,13187,13-06-2022,26-06-2022,dhl,Returned 
19992,18744,08-05-2023,18-05-2023,bluedart,Returned 
19879,15635,28-05-2020,11-06-2020,bluedart,Returned 
16019,3648,05-09-2020,NULL,dhl,Delivered
6815,4015,29-12-2023,NULL,fedex,Delivered
2239,15828,04-11-2020,NULL,fedex,Delivered
9758,326,08-08-2020,NULL,fedex,Delivered
1940,16691,23-05-2021,NULL,fedex,Delivered
19674,21368,30-05-2024,11-06-2024,bluedart,Returned 
18725,1696,27-07-2023,09-08-2023,dhl,Returned 
372,13967,11-12-2020,NULL,fedex,Delivered
13255,7515,22-12-2021,NULL,fedex,Delivered
2138,7554,08-03-2021,NULL,fedex,Delivered
12705,4911,09-12-2020,NULL,fedex,Delivered
2931,18860,25-04-2021,NULL,fedex,Delivered
7452,15319,26-11-2022,NULL,fedex,Delivered
10026,11936,23-01-2021,NULL,fedex,Delivered
19690,4692,28-10-2023,11-11-2023,bluedart,Returned 
20006,19308,21-08-2022,29-08-2022,bluedart,Returned 
7359,10337,21-08-2023,NULL,fedex,Delivered
14279,14728,12-06-2021,NULL,fedex,Delivered
15996,20897,15-07-2021,NULL,dhl,Delivered
6706,16322,25-03-2021,NULL,fedex,Delivered
1634,14600,05-09-2022,NULL,fedex,Delivered
3562,19974,01-10-2023,NULL,fedex,Delivered
4980,20732,09-06-2023,NULL,fedex,Delivered
4997,8673,03-08-2022,NULL,fedex,Delivered
344,16320,25-12-2022,NULL,fedex,Delivered
6698,4471,17-06-2021,NULL,fedex,Delivered
16432,5973,16-09-2022,NULL,dhl,Delivered
19708,17801,27-01-2023,09-02-2023,bluedart,Returned 
19125,15101,02-02-2023,14-02-2023,bluedart,Returned 
2242,16004,27-09-2020,NULL,fedex,Delivered
14796,13061,24-02-2023,NULL,dhl,Delivered
3605,7965,16-02-2022,NULL,fedex,Delivered
20941,4357,18-07-2020,NULL,bluedart,Shipped
7377,11638,18-11-2022,NULL,fedex,Delivered
16465,9349,12-01-2021,NULL,dhl,Delivered
9962,15428,01-08-2023,NULL,fedex,Delivered
10052,15701,16-08-2023,NULL,fedex,Delivered
19137,7723,09-04-2022,23-04-2022,bluedart,Returned 
20991,5923,31-03-2020,NULL,bluedart,Shipped
3408,1871,07-12-2023,NULL,fedex,Delivered
4968,16982,04-12-2023,NULL,fedex,Delivered
19689,17480,04-11-2023,12-11-2023,bluedart,Returned 
20714,19773,20-11-2023,NULL,bluedart,Shipped
19152,1425,11-07-2021,23-07-2021,bluedart,Returned 
12578,14220,20-08-2022,NULL,fedex,Delivered
444,17166,18-05-2021,NULL,fedex,Delivered
19798,11155,11-07-2023,18-07-2023,bluedart,Returned 
11453,5945,25-01-2022,NULL,fedex,Delivered
14253,13698,17-07-2022,NULL,fedex,Delivered
3416,10085,20-06-2023,NULL,fedex,Delivered
20040,394,13-03-2021,22-03-2021,bluedart,Returned 
1914,5290,04-05-2022,NULL,fedex,Delivered
11008,14575,17-01-2023,NULL,fedex,Delivered
10839,2471,27-10-2021,NULL,fedex,Delivered
18757,16520,07-03-2022,17-03-2022,bluedart,Returned 
11061,8436,07-03-2020,NULL,fedex,Delivered
14252,7089,18-07-2022,NULL,fedex,Delivered
10018,2612,29-03-2021,NULL,fedex,Delivered
11122,13889,02-09-2021,NULL,fedex,Delivered
18793,5600,22-03-2020,01-04-2020,bluedart,Returned 
14789,7261,09-04-2023,NULL,dhl,Delivered
19830,20509,07-05-2022,20-05-2022,bluedart,Returned 
6860,13234,31-03-2022,NULL,fedex,Delivered
1884,5852,24-04-2023,NULL,fedex,Delivered
19876,108,27-06-2020,04-07-2020,bluedart,Returned 
1683,6104,23-08-2020,NULL,fedex,Delivered
14795,17679,16-03-2023,NULL,dhl,Delivered
9700,5690,18-02-2023,NULL,fedex,Delivered
17403,6523,31-03-2020,NULL,dhl,Delivered
413,14879,11-05-2022,NULL,fedex,Delivered
20710,4857,17-08-2022,NULL,bluedart,Shipped
6841,14201,06-11-2022,NULL,fedex,Delivered
9969,17097,03-05-2023,NULL,fedex,Delivered
3424,17334,03-03-2023,NULL,fedex,Delivered
11397,12696,08-12-2023,NULL,fedex,Delivered
1696,21204,30-05-2024,NULL,fedex,Delivered
3593,15527,19-08-2022,NULL,fedex,Delivered
1251,10186,20-12-2022,NULL,fedex,Delivered
6672,11175,09-08-2022,NULL,fedex,Delivered
16482,7107,13-02-2020,NULL,dhl,Delivered
8242,15503,14-03-2022,NULL,fedex,Delivered
3426,1975,30-01-2023,NULL,fedex,Delivered
5005,12794,12-04-2022,NULL,fedex,Delivered
11440,15666,23-06-2022,NULL,fedex,Delivered
2205,2800,18-11-2021,NULL,fedex,Delivered
6271,18677,21-02-2023,NULL,fedex,Delivered
12691,13330,05-05-2021,NULL,fedex,Delivered
13262,17988,26-07-2021,NULL,fedex,Delivered
2074,10053,21-06-2023,NULL,fedex,Delivered
12554,12835,09-06-2023,NULL,fedex,Delivered
18788,12494,03-07-2020,12-07-2020,bluedart,Returned 
14808,12339,18-07-2022,NULL,dhl,Delivered
1744,19329,27-12-2021,NULL,fedex,Delivered
1705,15656,05-09-2023,NULL,fedex,Delivered
8413,6309,04-09-2023,NULL,fedex,Delivered
20505,4212,12-11-2022,21-11-2022,bluedart,Returned 
19688,371,24-11-2023,02-12-2023,bluedart,Returned 
3618,13945,27-05-2021,NULL,fedex,Delivered
14856,9353,04-03-2020,NULL,dhl,Delivered
10095,11128,30-11-2021,NULL,fedex,Delivered
2875,17347,21-07-2023,NULL,fedex,Delivered
1892,2598,01-10-2022,NULL,fedex,Delivered
12716,9644,09-06-2020,NULL,fedex,Delivered
6719,3943,14-05-2020,NULL,fedex,Delivered
19678,21012,30-03-2024,06-04-2024,bluedart,Returned 
2117,605,26-12-2021,NULL,fedex,Delivered
5035,4793,19-02-2021,NULL,fedex,Delivered
19169,4935,16-10-2020,24-10-2020,bluedart,Returned 
20617,2450,16-09-2022,30-09-2022,bluedart,Returned 
18775,10975,25-05-2021,07-06-2021,bluedart,Returned 
2083,20872,25-03-2023,NULL,fedex,Delivered
1772,11017,08-05-2021,NULL,fedex,Delivered
3422,11970,06-04-2023,NULL,fedex,Delivered
2862,6544,24-11-2023,NULL,fedex,Delivered
19100,3446,17-01-2024,27-01-2024,bluedart,Returned 
7351,13969,01-11-2023,NULL,fedex,Delivered
